## ##############################################
## Layup: Caps
## ##############################################
    Number   r_start     r_end     TRIAX     UNIAX     BALSA     UNIAX     TRIAX
       [-]       [m]       [m]      [mm]      [mm]      [mm]      [mm]      [mm]
         1     2.800     3.664       8.0       8.0       0.0       8.0       8.0
         2     3.664     4.527       8.0       8.0       0.0       8.0       8.0
         3     4.527     5.391       7.9       8.3       0.0       8.3       7.9
         4     5.391     6.255       7.6       9.1       0.0       9.1       7.6
         5     6.255     7.118       7.2      10.3       0.0      10.3       7.2
         6     7.118     7.982       6.7      11.8       0.0      11.8       6.7
         7     7.982     8.846       6.1      13.7       0.0      13.7       6.1
         8     8.846     9.709       5.4      15.7       0.0      15.7       5.4
         9     9.709    10.573       4.7      17.9       0.0      17.9       4.7
        10    10.573    11.437       4.0      20.2       0.0      20.2       4.0
        11    11.437    12.300       3.3      22.5       0.0      22.5       3.3
        12    12.300    13.164       2.5      24.8       0.0      24.8       2.5
        13    13.164    14.028       1.9      27.0       0.0      27.0       1.9
        14    14.028    14.891       1.3      29.0       0.0      29.0       1.3
        15    14.891    15.755       0.8      30.9       0.0      30.9       0.8
        16    15.755    16.619       0.4      32.4       0.0      32.4       0.4
        17    16.619    17.482       0.1      33.6       0.0      33.6       0.1
        18    17.482    18.346       0.0      34.4       0.0      34.4       0.0
        19    18.346    19.210       0.0      34.9       0.0      34.9       0.0
        20    19.210    20.073       0.0      35.3       0.0      35.3       0.0
        21    20.073    20.937       0.0      35.8       0.0      35.8       0.0
        22    20.937    21.801       0.0      36.3       0.0      36.3       0.0
        23    21.801    22.664       0.0      36.7       0.0      36.7       0.0
        24    22.664    23.528       0.0      37.1       0.0      37.1       0.0
        25    23.528    24.392       0.0      37.5       0.0      37.5       0.0
        26    24.392    25.255       0.0      37.9       0.0      37.9       0.0
        27    25.255    26.119       0.0      38.3       0.0      38.3       0.0
        28    26.119    26.982       0.0      38.7       0.0      38.7       0.0
        29    26.982    27.846       0.0      39.0       0.0      39.0       0.0
        30    27.846    28.710       0.0      39.3       0.0      39.3       0.0
        31    28.710    29.573       0.0      39.6       0.0      39.6       0.0
        32    29.573    30.437       0.0      39.9       0.0      39.9       0.0
        33    30.437    31.301       0.0      40.2       0.0      40.2       0.0
        34    31.301    32.164       0.0      40.4       0.0      40.4       0.0
        35    32.164    33.028       0.0      40.6       0.0      40.6       0.0
        36    33.028    33.892       0.0      40.8       0.0      40.8       0.0
        37    33.892    34.755       0.0      41.0       0.0      41.0       0.0
        38    34.755    35.619       0.0      41.1       0.0      41.1       0.0
        39    35.619    36.483       0.0      41.3       0.0      41.3       0.0
        40    36.483    37.346       0.0      41.4       0.0      41.4       0.0
        41    37.346    38.210       0.0      41.5       0.0      41.5       0.0
        42    38.210    39.074       0.0      41.5       0.0      41.5       0.0
        43    39.074    39.937       0.0      41.5       0.0      41.5       0.0
        44    39.937    40.801       0.0      41.5       0.0      41.5       0.0
        45    40.801    41.665       0.0      41.5       0.0      41.5       0.0
        46    41.665    42.528       0.0      41.5       0.0      41.5       0.0
        47    42.528    43.392       0.0      41.4       0.0      41.4       0.0
        48    43.392    44.256       0.0      41.2       0.0      41.2       0.0
        49    44.256    45.119       0.0      41.1       0.0      41.1       0.0
        50    45.119    45.983       0.0      40.9       0.0      40.9       0.0
        51    45.983    46.847       0.0      40.8       0.0      40.8       0.0
        52    46.847    47.710       0.0      40.6       0.0      40.6       0.0
        53    47.710    48.574       0.0      40.3       0.0      40.3       0.0
        54    48.574    49.438       0.0      40.1       0.0      40.1       0.0
        55    49.438    50.301       0.0      39.8       0.0      39.8       0.0
        56    50.301    51.165       0.0      39.6       0.0      39.6       0.0
        57    51.165    52.029       0.0      39.3       0.0      39.3       0.0
        58    52.029    52.892       0.0      39.0       0.0      39.0       0.0
        59    52.892    53.756       0.0      38.7       0.0      38.7       0.0
        60    53.756    54.620       0.0      38.4       0.0      38.4       0.0
        61    54.620    55.483       0.0      38.1       0.0      38.1       0.0
        62    55.483    56.347       0.0      37.8       0.0      37.8       0.0
        63    56.347    57.211       0.0      37.4       0.0      37.4       0.0
        64    57.211    58.074       0.0      37.1       0.0      37.1       0.0
        65    58.074    58.938       0.0      36.7       0.0      36.7       0.0
        66    58.938    59.802       0.0      36.2       0.0      36.2       0.0
        67    59.802    60.665       0.0      35.7       0.0      35.7       0.0
        68    60.665    61.529       0.0      35.2       0.0      35.2       0.0
        69    61.529    62.393       0.0      34.6       0.0      34.6       0.0
        70    62.393    63.256       0.0      34.0       0.0      34.0       0.0
        71    63.256    64.120       0.0      33.4       0.0      33.4       0.0
        72    64.120    64.984       0.0      32.7       0.0      32.7       0.0
        73    64.984    65.847       0.0      32.0       0.0      32.0       0.0
