## ##############################################
## Layup: Leading Panels
## ##############################################
    Number   r_start     r_end     TRIAX     UNIAX     BALSA     UNIAX     TRIAX
       [-]       [m]       [m]      [mm]      [mm]      [mm]      [mm]      [mm]
         1     2.800     3.664       8.0       8.0      10.0       8.0       8.0
         2     3.664     4.527       8.0       8.0      10.0       8.0       8.0
         3     4.527     5.391       8.0       8.0      10.0       8.0       8.0
         4     5.391     6.255       8.0       8.0      10.0       8.0       8.0
         5     6.255     7.118       8.0       8.0      10.0       8.0       8.0
         6     7.118     7.982       7.8       7.8      15.0       7.8       7.8
         7     7.982     8.846       7.6       7.5      15.0       7.5       7.6
         8     8.846     9.709       7.3       7.1      15.0       7.1       7.3
         9     9.709    10.573       7.0       6.6      20.0       6.6       7.0
        10    10.573    11.437       6.7       6.1      20.0       6.1       6.7
        11    11.437    12.300       6.3       5.6      20.0       5.6       6.3
        12    12.300    13.164       6.0       5.1      25.0       5.1       6.0
        13    13.164    14.028       5.6       4.6      25.0       4.6       5.6
        14    14.028    14.891       5.3       4.2      30.0       4.2       5.3
        15    14.891    15.755       5.1       3.9      30.0       3.9       5.1
        16    15.755    16.619       4.9       3.6      30.0       3.6       4.9
        17    16.619    17.482       4.7       3.3      35.0       3.3       4.7
        18    17.482    18.346       4.5       3.0      35.0       3.0       4.5
        19    18.346    19.210       4.2       2.6      35.0       2.6       4.2
        20    19.210    20.073       4.0       2.3      35.0       2.3       4.0
        21    20.073    20.937       3.8       2.0      35.0       2.0       3.8
        22    20.937    21.801       3.6       1.7      35.0       1.7       3.6
        23    21.801    22.664       3.4       1.4      35.0       1.4       3.4
        24    22.664    23.528       3.2       1.2      35.0       1.2       3.2
        25    23.528    24.392       3.0       0.9      35.0       0.9       3.0
        26    24.392    25.255       2.9       0.7      35.0       0.7       2.9
        27    25.255    26.119       2.7       0.5      35.0       0.5       2.7
        28    26.119    26.982       2.6       0.3      35.0       0.3       2.6
        29    26.982    27.846       2.5       0.2      35.0       0.2       2.5
        30    27.846    28.710       2.4       0.1      35.0       0.1       2.4
        31    28.710    29.573       2.3       0.0      35.0       0.0       2.3
        32    29.573    30.437       2.2       0.0      35.0       0.0       2.2
        33    30.437    31.301       2.1       0.0      35.0       0.0       2.1
        34    31.301    32.164       2.1       0.0      35.0       0.0       2.1
        35    32.164    33.028       2.1       0.0      35.0       0.0       2.1
        36    33.028    33.892       2.0       0.0      30.0       0.0       2.0
        37    33.892    34.755       2.0       0.0      30.0       0.0       2.0
        38    34.755    35.619       1.9       0.0      30.0       0.0       1.9
        39    35.619    36.483       1.9       0.0      30.0       0.0       1.9
        40    36.483    37.346       1.9       0.0      30.0       0.0       1.9
