## ##############################################
## Layup: Tail A
## ##############################################
    Number   r_start     r_end     TRIAX     UNIAX     BALSA     UNIAX     TRIAX
       [-]       [m]       [m]      [mm]      [mm]      [mm]      [mm]      [mm]
         1     2.800     3.664       8.0       8.0      10.0       8.0       8.0
         2     3.664     4.527       8.0       8.0      10.0       8.0       8.0
         3     4.527     5.391       8.0       8.0      10.0       8.0       8.0
         4     5.391     6.255       8.0       8.0      10.0       8.0       8.0
         5     6.255     7.118       8.0       8.0      15.0       8.0       8.0
         6     7.118     7.982       7.9       7.9      20.0       7.9       7.9
         7     7.982     8.846       7.7       7.7      20.0       7.7       7.7
         8     8.846     9.709       7.4       7.5      25.0       7.5       7.4
         9     9.709    10.573       7.1       7.2      30.0       7.2       7.1
        10    10.573    11.437       6.8       7.0      35.0       7.0       6.8
        11    11.437    12.300       6.5       6.7      40.0       6.7       6.5
        12    12.300    13.164       6.2       6.5      45.0       6.5       6.2
        13    13.164    14.028       5.9       6.2      50.0       6.2       5.9
        14    14.028    14.891       5.6       6.1      55.0       6.1       5.6
        15    14.891    15.755       5.4       6.0      60.0       6.0       5.4
        16    15.755    16.619       5.2       5.9      60.0       5.9       5.2
        17    16.619    17.482       5.0       5.8      65.0       5.8       5.0
        18    17.482    18.346       4.8       5.7      65.0       5.7       4.8
        19    18.346    19.210       4.6       5.7      70.0       5.7       4.6
        20    19.210    20.073       4.4       5.6      70.0       5.6       4.4
        21    20.073    20.937       4.2       5.5      70.0       5.5       4.2
        22    20.937    21.801       4.0       5.5      70.0       5.5       4.0
        23    21.801    22.664       3.9       5.4      70.0       5.4       3.9
        24    22.664    23.528       3.7       5.4      70.0       5.4       3.7
        25    23.528    24.392       3.5       5.4      65.0       5.4       3.5
        26    24.392    25.255       3.4       5.3      65.0       5.3       3.4
        27    25.255    26.119       3.2       5.3      65.0       5.3       3.2
        28    26.119    26.982       3.1       5.2      60.0       5.2       3.1
        29    26.982    27.846       3.0       5.2      60.0       5.2       3.0
        30    27.846    28.710       2.9       5.1      55.0       5.1       2.9
        31    28.710    29.573       2.8       5.1      55.0       5.1       2.8
        32    29.573    30.437       2.8       5.0      50.0       5.0       2.8
        33    30.437    31.301       2.8       4.9      50.0       4.9       2.8
        34    31.301    32.164       2.7       4.9      45.0       4.9       2.7
        35    32.164    33.028       2.7       4.8      45.0       4.8       2.7
        36    33.028    33.892       2.7       4.8      40.0       4.8       2.7
        37    33.892    34.755       2.7       4.7      40.0       4.7       2.7
        38    34.755    35.619       2.6       4.6      35.0       4.6       2.6
        39    35.619    36.483       2.6       4.6      35.0       4.6       2.6
        40    36.483    37.346       2.6       4.5      30.0       4.5       2.6
