## ##############################################
## Layup: Web B
## ##############################################
    Number   r_start     r_end      BIAX     BALSA      BIAX
       [-]       [m]       [m]      [mm]      [mm]      [mm]
         1     2.800     3.664       2.6      65.0       2.6
         2     3.664     4.527       2.6      65.0       2.6
         3     4.527     5.391       2.6      65.0       2.6
         4     5.391     6.255       2.6      65.0       2.6
         5     6.255     7.118       2.6      65.0       2.6
         6     7.118     7.982       2.6      60.0       2.6
         7     7.982     8.846       2.6      60.0       2.6
         8     8.846     9.709       2.6      60.0       2.6
         9     9.709    10.573       2.6      60.0       2.6
        10    10.573    11.437       2.6      60.0       2.6
        11    11.437    12.300       2.6      60.0       2.6
        12    12.300    13.164       2.7      60.0       2.7
        13    13.164    14.028       2.7      60.0       2.7
        14    14.028    14.891       2.8      60.0       2.8
        15    14.891    15.755       2.8      55.0       2.8
        16    15.755    16.619       2.9      55.0       2.9
        17    16.619    17.482       3.0      55.0       3.0
        18    17.482    18.346       3.1      55.0       3.1
        19    18.346    19.210       3.2      55.0       3.2
        20    19.210    20.073       3.3      55.0       3.3
        21    20.073    20.937       3.4      55.0       3.4
        22    20.937    21.801       3.5      55.0       3.5
        23    21.801    22.664       3.6      50.0       3.6
        24    22.664    23.528       3.7      50.0       3.7
        25    23.528    24.392       3.8      50.0       3.8
        26    24.392    25.255       3.9      50.0       3.9
        27    25.255    26.119       4.0      50.0       4.0
        28    26.119    26.982       4.1      50.0       4.1
        29    26.982    27.846       4.2      50.0       4.2
        30    27.846    28.710       4.3      45.0       4.3
        31    28.710    29.573       4.3      45.0       4.3
        32    29.573    30.437       4.4      45.0       4.4
        33    30.437    31.301       4.5      45.0       4.5
        34    31.301    32.164       4.5      45.0       4.5
        35    32.164    33.028       4.6      45.0       4.6
        36    33.028    33.892       4.6      40.0       4.6
        37    33.892    34.755       4.7      40.0       4.7
        38    34.755    35.619       4.7      40.0       4.7
        39    35.619    36.483       4.7      40.0       4.7
        40    36.483    37.346       4.7      40.0       4.7
        41    37.346    38.210       4.7      35.0       4.7
        42    38.210    39.074       4.7      35.0       4.7
        43    39.074    39.937       4.7      35.0       4.7
        44    39.937    40.801       4.7      35.0       4.7
        45    40.801    41.665       4.7      35.0       4.7
        46    41.665    42.528       4.7      30.0       4.7
        47    42.528    43.392       4.7      30.0       4.7
        48    43.392    44.256       4.6      30.0       4.6
        49    44.256    45.119       4.6      30.0       4.6
        50    45.119    45.983       4.6      30.0       4.6
        51    45.983    46.847       4.6      25.0       4.6
        52    46.847    47.710       4.6      25.0       4.6
        53    47.710    48.574       4.6      25.0       4.6
        54    48.574    49.438       4.5      25.0       4.5
        55    49.438    50.301       4.5      25.0       4.5
        56    50.301    51.165       4.5      20.0       4.5
        57    51.165    52.029       4.5      20.0       4.5
        58    52.029    52.892       4.5      20.0       4.5
        59    52.892    53.756       4.4      20.0       4.4
        60    53.756    54.620       4.4      20.0       4.4
        61    54.620    55.483       4.4      20.0       4.4
        62    55.483    56.347       4.3      20.0       4.3
        63    56.347    57.211       4.3      15.0       4.3
        64    57.211    58.074       4.3      15.0       4.3
        65    58.074    58.938       4.3      15.0       4.3
        66    58.938    59.802       4.2      15.0       4.2
        67    59.802    60.665       4.2      15.0       4.2
        68    60.665    61.529       4.1      15.0       4.1
        69    61.529    62.393       4.1      15.0       4.1
        70    62.393    63.256       4.1      15.0       4.1
        71    63.256    64.120       4.0      15.0       4.0
        72    64.120    64.984       4.0      15.0       4.0
        73    64.984    65.847       3.9      10.0       3.9
        74    65.847    66.711       3.9      10.0       3.9
        75    66.711    67.575       3.9      10.0       3.9
        76    67.575    68.438       3.8      10.0       3.8
        77    68.438    69.302       3.8      10.0       3.8
        78    69.302    70.165       3.7      10.0       3.7
        79    70.165    71.029       3.7      10.0       3.7
        80    71.029    71.893       3.6      10.0       3.6
        81    71.893    72.756       3.6      10.0       3.6
        82    72.756    73.620       3.5      10.0       3.5
        83    73.620    74.484       3.5      10.0       3.5
        84    74.484    75.347       3.4      10.0       3.4
        85    75.347    76.211       3.3      10.0       3.3
        86    76.211    77.075       3.3      10.0       3.3
        87    77.075    77.938       3.2       5.0       3.2
        88    77.938    78.802       3.2       5.0       3.2
        89    78.802    79.666       3.1       5.0       3.1
        90    79.666    80.529       3.0       5.0       3.0
        91    80.529    81.393       2.9       5.0       2.9
        92    81.393    82.257       2.7       5.0       2.7
        93    82.257    83.120       2.6       5.0       2.6
        94    83.120    83.984       2.4       5.0       2.4
        95    83.984    84.848       2.2       5.0       2.2
        96    84.848    85.711       2.0       5.0       2.0
        97    85.711    86.575       1.9       5.0       1.9
        98    86.575    87.439       1.7       5.0       1.7
        99    87.439    88.302       1.5       5.0       1.5
       100    88.302    89.166       1.3       5.0       1.3
