## ##############################################
## Layup: Web C
## ##############################################
    Number   r_start     r_end     TRIAX     BALSA     TRIAX
       [-]       [m]       [m]      [mm]      [mm]      [mm]
         1     2.800     3.664       0.0       0.0       0.0
         2     3.664     4.527       0.0       0.0       0.0
         3     4.527     5.391       0.0       0.0       0.0
         4     5.391     6.255       0.0       0.0       0.0
         5     6.255     7.118       0.0       0.0       0.0
         6     7.118     7.982       0.0       0.0       0.0
         7     7.982     8.846       0.0       0.0       0.0
         8     8.846     9.709       0.0       0.0       0.0
         9     9.709    10.573       0.0       0.0       0.0
        10    10.573    11.437       0.0       0.0       0.0
        11    11.437    12.300       0.0       0.0       0.0
        12    12.300    13.164       0.0       0.0       0.0
        13    13.164    14.028       0.0       0.0       0.0
        14    14.028    14.891       0.0       0.0       0.0
        15    14.891    15.755       0.0       0.0       0.0
        16    15.755    16.619       0.0       0.0       0.0
        17    16.619    17.482       0.0       0.0       0.0
        18    17.482    18.346       0.0       0.0       0.0
        19    18.346    19.210       0.0       0.0       0.0
        20    19.210    20.073       0.0       0.0       0.0
        21    20.073    20.937       0.0       0.0       0.0
        22    20.937    21.801       0.0       0.0       0.0
        23    21.801    22.664       3.0      15.0       3.0
        24    22.664    23.528       3.0      15.0       3.0
        25    23.528    24.392       3.0      15.0       3.0
        26    24.392    25.255       3.0      15.0       3.0
        27    25.255    26.119       3.0      15.0       3.0
        28    26.119    26.982       3.0      15.0       3.0
        29    26.982    27.846       3.0      15.0       3.0
        30    27.846    28.710       3.0      10.0       3.0
        31    28.710    29.573       3.0      10.0       3.0
        32    29.573    30.437       3.0      10.0       3.0
        33    30.437    31.301       3.0      10.0       3.0
        34    31.301    32.164       3.0      10.0       3.0
        35    32.164    33.028       3.0      10.0       3.0
        36    33.028    33.892       3.0      10.0       3.0
        37    33.892    34.755       3.0      10.0       3.0
        38    34.755    35.619       3.0      10.0       3.0
        39    35.619    36.483       3.0       5.0       3.0
        40    36.483    37.346       3.0       5.0       3.0
        41    37.346    38.210       3.0       5.0       3.0
        42    38.210    39.074       3.0       5.0       3.0
        43    39.074    39.937       3.0       5.0       3.0
        44    39.937    40.801       3.0       5.0       3.0
        45    40.801    41.665       3.0       5.0       3.0
        46    41.665    42.528       3.0       5.0       3.0
        47    42.528    43.392       3.0       5.0       3.0
        48    43.392    44.256       3.0       5.0       3.0
        49    44.256    45.119       3.0       5.0       3.0
        50    45.119    45.983       3.0       5.0       3.0
        51    45.983    46.847       3.0       5.0       3.0
        52    46.847    47.710       3.0       0.0       3.0
        53    47.710    48.574       3.0       0.0       3.0
        54    48.574    49.438       3.0       0.0       3.0
        55    49.438    50.301       3.0       0.0       3.0
        56    50.301    51.165       3.0       0.0       3.0
        57    51.165    52.029       3.0       0.0       3.0
        58    52.029    52.892       3.0       0.0       3.0
        59    52.892    53.756       3.0       0.0       3.0
        60    53.756    54.620       3.0       0.0       3.0
        61    54.620    55.483       3.0       0.0       3.0
        62    55.483    56.347       3.0       0.0       3.0
        63    56.347    57.211       3.0       0.0       3.0
        64    57.211    58.074       3.0       0.0       3.0
        65    58.074    58.938       3.0       0.0       3.0
        66    58.938    59.802       3.0       0.0       3.0
        67    59.802    60.665       3.0       0.0       3.0
        68    60.665    61.529       3.0       0.0       3.0
        69    61.529    62.393       3.0       0.0       3.0
        70    62.393    63.256       3.0       0.0       3.0
        71    63.256    64.120       3.0       0.0       3.0
        72    64.120    64.984       3.0       0.0       3.0
        73    64.984    65.847       3.0       0.0       3.0
        74    65.847    66.711       3.0       0.0       3.0
        75    66.711    67.575       3.0       0.0       3.0
        76    67.575    68.438       3.0       0.0       3.0
        77    68.438    69.302       3.0       0.0       3.0
        78    69.302    70.165       3.0       0.0       3.0
        79    70.165    71.029       3.0       0.0       3.0
        80    71.029    71.893       3.0       0.0       3.0
        81    71.893    72.756       3.0       0.0       3.0
        82    72.756    73.620       3.0       0.0       3.0
        83    73.620    74.484       3.0       0.0       3.0
        84    74.484    75.347       3.0       0.0       3.0
        85    75.347    76.211       3.0       0.0       3.0
        86    76.211    77.075       3.0       0.0       3.0
        87    77.075    77.938       3.0       0.0       3.0
        88    77.938    78.802       3.0       0.0       3.0
        89    78.802    79.666       3.0       0.0       3.0
        90    79.666    80.529       3.0       0.0       3.0
        91    80.529    81.393       3.0       0.0       3.0
        92    81.393    82.257       3.0       0.0       3.0
        93    82.257    83.120       3.0       0.0       3.0
        94    83.120    83.984       3.0       0.0       3.0
        95    83.984    84.848       3.0       0.0       3.0
        96    84.848    85.711       3.0       0.0       3.0
        97    85.711    86.575       3.0       0.0       3.0
        98    86.575    87.439       3.0       0.0       3.0
        99    87.439    88.302       3.0       0.0       3.0
       100    88.302    89.166       3.0       0.0       3.0
